"","positive","probable_cases","negative","total_test_results","hospitalized_currently","hospitalized_cumulative","in_icu_currently","in_icu_cumulative","on_ventilator_currently","on_ventilator_cumulative","recovered","death","hospitalized","total_tests_viral","positive_tests_viral","negative_tests_viral","positive_cases_viral","death_confirmed","death_probable","total_test_encounters_viral","total_tests_people_viral","total_tests_antibody","positive_tests_antibody","negative_tests_antibody","total_tests_people_antibody","positive_tests_people_antibody","negative_tests_people_antibody","total_tests_people_antigen","positive_tests_people_antigen","total_tests_antigen","positive_tests_antigen","positive_increase","negative_increase","total","total_test_results_increase","death_increase","hospitalized_increase","commercial_score","negative_regular_score","negative_score","positive_score","score"
"1",0.00215311684589231,0,0,0.00491882665115799,0.00060155643208504,0.00149685578933382,0,0,0.0011422769386978,0,0,0.000603043755670361,0.00149685578933382,0.0066375106469282,0.00520809654291788,0.0253090916239009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000380206658139541,0,0,0,0,0,0,0,0
"2",0.0179958685854353,0.0486395419284816,0.015670778542275,0.00717701380094273,0.0234226276594125,0.0509622450667484,0,0.063048989730851,0,0.37118018967334,0.0236103289668211,0.0150034055819238,0.0509622450667484,0,0,0,0.0190144233089235,0.0265319510403642,0.0457438128909437,0,0.0405469151246996,0,0,0,0.0733310744242716,0,0,0,0,0,0,0.0176497569030364,0.00903617568390941,0.0160802319652532,0.00416380349869766,0.0556102362204724,0,0,0,0,0,0
"3",0.0114525060290978,0.0286059645904229,0.0189064893120145,0.00800200742882277,0.0103102203676347,0.016694551933032,0.0189271806038273,0,0.0318568346236832,0.34404636459431,0.0256197566357345,0.0110943898085605,0.016694551933032,0.0107979835990166,0,0.0389608540789244,0.0123344340597972,0.0191980981323346,0.0379113407669296,0,0,0,0,0,0,0,0,0.223918292876529,0.403578668275267,0,0,0.0147188331345748,0.00612247005522025,0.0175888803285187,0.00318819922135445,0.00984251968503937,0.0425166416147735,0,0,0,0,0
"4",0,0,2.02515823796281e-05,7.7529844660841e-06,0,0,0,0,0,0,0,0,0,1.0461949686108e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66740219361563e-05,0,0,0,0,0,0,0,0
"5",0.0280672505619627,0.02012642332009,0.0237898745021742,0.0208042389609221,0.038697592251344,0.0601847206818287,0.0495372890582471,0,0.0997588526462749,0,0.00967650512166485,0.0282192171738247,0.0601847206818287,0.0280734344585716,0,0,0.0352035544564214,0.0529181221299572,0.0567854228991025,0,0.0637721331891779,0.103194339858465,0,0,0,0,0,0,0,0,0,0.0392578662508027,0.0150155422221763,0.024543490212505,0.023356303342989,0.0824311023622047,0.161692076444063,0,0,0,0,0
"6",0.12122122411865,0,0,0.132265857025156,0.17258577890136,0,0.207780243708387,0,0,0,0,0.082145866592722,0,0.178480783424818,0,0,0.160695028188873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167356205852674,0,0.0214057665312798,0.172482343655713,0.134842519685039,0,0,0,0,0,0
"7",0.0160759468648691,0.00958194039875586,0.0180276179535199,0.017468256546314,0.00708161369416566,0.0274965900431973,0,0,0,0,0.00215576254355888,0.0141123007465359,0.0274965900431973,0,0,0,0.0203570541787295,0.0255563467544337,0.0372042425890672,0.0557406208602861,0.0461141926493794,0.078764346355708,0.0906371027497193,0.249719166335907,0,0,0,0,0,0,0,0.00693055682964866,0.00633048650769882,0.0176816938562307,0.0119834428059012,0.00713582677165354,0.0569035859995705,0,0,0,0,0
"8",0.00957697301166849,0.00737009054833779,0.0430973356819491,0.0172854418971817,0.00878729269147008,0.0166186244654571,0,0,0,0,0.0010930501307366,0.0173617374121346,0.0166186244654571,0.0232638219722679,0,0,0.0119619554774619,0.0293578393168527,0.0659776992113136,0,0,0,0,0,0,0,0,0,0,0.0205470471103235,0.0187532468394663,0.0169204660122925,0.0457946007190583,0.037175082528617,0.0177303697290056,0.00812007874015748,0,0,0,0,0,0
"9",0.00143063113499531,0,0,0.0035143771380168,0.00215494266177299,0,0.00288932624261966,0,0.00431526843508059,0,0.0025055385853946,0.00222103168941093,0,0,0,0,0,0,0,0.0112142595965931,0.0076412702070245,0,0,0,0,0,0,0,0,0,0,0.00197229611962205,0,0.000252627015530839,0.00466207130334809,0.000984251968503937,0,0,0,0,0,0
"10",0.00293186060499949,0.00171236197240124,0.00447888349051731,0.00388989692581051,0.00360172395412942,0,0.00230308613542146,0,0,0,0,0.00266793018691664,0,0,0.00608715170971372,0,0.00371612897187898,0.00496773216858891,0.00571117759042698,0.0124125306467948,0.0110470965402147,0,0,0,0,0,0,0,0,0,0,0.00283918906522337,0.00167150808977459,0.0042053831222745,0.00505415088733532,0.00123031496062992,0,0,0,0,0,0
